,Line Type,Plan Type,Data Type,Promo Type,Model,Promo Value,Brand,Week,Date,Retailer,Type
1263,Smartphones without Contract,NULL,NULL,CashBack / Deduction,Google Pixel 7,0,Google,20,15-May,Mediamarkt,Mediamarkt
1264,Smartphones without Contract,NULL,NULL,Gift Card,Google Pixel 7,0,Google,20,15-May,Mediamarkt,Mediamarkt
1265,Smartphones without Contract,NULL,NULL,Trade-In,Google Pixel 7,0,Google,20,15-May,Mediamarkt,Mediamarkt
1266,Smartphones with contract,NULL,Vodafone,One Time Cost,Google Pixel 7,5,Google,20,15-May,Mediamarkt,Mediamarkt
1267,Smartphones with contract,NULL,Vodafone,Monthly Cost,Google Pixel 7,90,Google,20,15-May,Mediamarkt,Mediamarkt
1268,Smartphones with contract,NULL,Vodafone,Free Merchandise,Google Pixel 7,0,Google,20,15-May,Mediamarkt,Mediamarkt
1269,Smartphones with contract,NULL,Vodafone,Bundle Deal,Google Pixel 7,0,Google,20,15-May,Mediamarkt,Mediamarkt
1270,Smartphones with contract,NULL,Vodafone,Free Subscription,Google Pixel 7,0,Google,20,15-May,Mediamarkt,Mediamarkt
1271,Smartphones with contract,NULL,Vodafone,Switcher,Google Pixel 7,50,Google,20,15-May,Mediamarkt,Mediamarkt
1272,Smartphones with contract,NULL,O2,One Time Cost,Google Pixel 7,0,Google,20,15-May,Mediamarkt,Mediamarkt
1273,Smartphones with contract,NULL,O2,Monthly Cost,Google Pixel 7,0,Google,20,15-May,Mediamarkt,Mediamarkt
1274,Smartphones with contract,NULL,O2,Free Merchandise,Google Pixel 7,0,Google,20,15-May,Mediamarkt,Mediamarkt
1275,Smartphones with contract,NULL,O2,Bundle Deal,Google Pixel 7,0,Google,20,15-May,Mediamarkt,Mediamarkt
1276,Smartphones with contract,NULL,O2,Free Subscription,Google Pixel 7,0,Google,20,15-May,Mediamarkt,Mediamarkt
1277,Smartphones with contract,NULL,O2,Switcher,Google Pixel 7,0,Google,20,15-May,Mediamarkt,Mediamarkt
1278,Smartphones with contract,NULL,Telekom,Free Merchandise,Google Pixel 7,0,Google,20,15-May,Mediamarkt,Mediamarkt
1279,Smartphones with contract,NULL,Telekom,Bundle Deal,Google Pixel 7,0,Google,20,15-May,Mediamarkt,Mediamarkt
1280,Smartphones with contract,NULL,Telekom,Free Subscription,Google Pixel 7,0,Google,20,15-May,Mediamarkt,Mediamarkt
1281,Smartphones with contract,NULL,Telekom,Switcher,Google Pixel 7,0,Google,20,15-May,Mediamarkt,Mediamarkt
1282,Smartphones without Contract,NULL,NULL,WoW Price Change,Google Pixel 6,0,Google,20,15-May,Mediamarkt,Mediamarkt
1283,Smartphones without Contract,NULL,NULL,Bundle Deal,Google Pixel 6,0,Google,20,15-May,Mediamarkt,Mediamarkt
1284,Smartphones without Contract,NULL,NULL,Free Subscription,Google Pixel 6,0,Google,20,15-May,Mediamarkt,Mediamarkt
1285,Smartphones without Contract,NULL,NULL,CashBack / Deduction,Google Pixel 6,0,Google,20,15-May,Mediamarkt,Mediamarkt
1286,Smartphones without Contract,NULL,NULL,Gift Card,Google Pixel 6,0,Google,20,15-May,Mediamarkt,Mediamarkt
1287,Smartphones without Contract,NULL,NULL,Trade-In,Google Pixel 6,0,Google,20,15-May,Mediamarkt,Mediamarkt
1288,Smartphones with contract,NULL,Vodafone,One Time Cost,Google Pixel 6,0,Google,20,15-May,Mediamarkt,Mediamarkt
1289,Smartphones with contract,NULL,Vodafone,Monthly Cost,Google Pixel 6,0,Google,20,15-May,Mediamarkt,Mediamarkt
1290,Smartphones with contract,NULL,Vodafone,Free Merchandise,Google Pixel 6,0,Google,20,15-May,Mediamarkt,Mediamarkt
1291,Smartphones with contract,NULL,Vodafone,Bundle Deal,Google Pixel 6,0,Google,20,15-May,Mediamarkt,Mediamarkt
1292,Smartphones with contract,NULL,Vodafone,Free Subscription,Google Pixel 6,0,Google,20,15-May,Mediamarkt,Mediamarkt
1293,Smartphones with contract,NULL,Vodafone,Switcher,Google Pixel 6,0,Google,20,15-May,Mediamarkt,Mediamarkt
1294,Smartphones with contract,NULL,O2,One Time Cost,Google Pixel 6,0,Google,20,15-May,Mediamarkt,Mediamarkt
1295,Smartphones with contract,NULL,O2,Monthly Cost,Google Pixel 6,0,Google,20,15-May,Mediamarkt,Mediamarkt
1296,Smartphones with contract,NULL,O2,Free Merchandise,Google Pixel 6,0,Google,20,15-May,Mediamarkt,Mediamarkt
1297,Smartphones with contract,NULL,O2,Bundle Deal,Google Pixel 6,0,Google,20,15-May,Mediamarkt,Mediamarkt
1298,Smartphones with contract,NULL,O2,Free Subscription,Google Pixel 6,0,Google,20,15-May,Mediamarkt,Mediamarkt
1299,Smartphones with contract,NULL,O2,Switcher,Google Pixel 6,0,Google,20,15-May,Mediamarkt,Mediamarkt
1300,Smartphones with contract,NULL,Telekom,Free Merchandise,Google Pixel 6,0,Google,20,15-May,Mediamarkt,Mediamarkt
1301,Smartphones with contract,NULL,Telekom,Bundle Deal,Google Pixel 6,0,Google,20,15-May,Mediamarkt,Mediamarkt
1302,Smartphones with contract,NULL,Telekom,Free Subscription,Google Pixel 6,0,Google,20,15-May,Mediamarkt,Mediamarkt
1303,Smartphones with contract,NULL,Telekom,Switcher,Google Pixel 6,0,Google,20,15-May,Mediamarkt,Mediamarkt
1304,Smartphones without Contract,NULL,NULL,WoW Price Change,Samsung Galaxy S22,-100,Samsung,20,15-May,Mediamarkt,Mediamarkt
1305,Smartphones without Contract,NULL,NULL,Bundle Deal,Samsung Galaxy S22,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1306,Smartphones without Contract,NULL,NULL,Free Subscription,Samsung Galaxy S22,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1307,Smartphones without Contract,NULL,NULL,CashBack / Deduction,Samsung Galaxy S22,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1308,Smartphones without Contract,NULL,NULL,Gift Card,Samsung Galaxy S22,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1309,Smartphones without Contract,NULL,NULL,Trade-In,Samsung Galaxy S22,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1310,Smartphones with contract,NULL,Vodafone,One Time Cost,Samsung Galaxy S22,5,Samsung,20,15-May,Mediamarkt,Mediamarkt
1311,Smartphones with contract,NULL,Vodafone,Monthly Cost,Samsung Galaxy S22,90,Samsung,20,15-May,Mediamarkt,Mediamarkt
1312,Smartphones with contract,NULL,Vodafone,Free Merchandise,Samsung Galaxy S22,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1313,Smartphones with contract,NULL,Vodafone,Bundle Deal,Samsung Galaxy S22,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1314,Smartphones with contract,NULL,Vodafone,Free Subscription,Samsung Galaxy S22,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1315,Smartphones with contract,NULL,Vodafone,Switcher,Samsung Galaxy S22,50,Samsung,20,15-May,Mediamarkt,Mediamarkt
1316,Smartphones with contract,NULL,O2,One Time Cost,Samsung Galaxy S22,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1317,Smartphones with contract,NULL,O2,Monthly Cost,Samsung Galaxy S22,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1318,Smartphones with contract,NULL,O2,Free Merchandise,Samsung Galaxy S22,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1319,Smartphones with contract,NULL,O2,Bundle Deal,Samsung Galaxy S22,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1320,Smartphones with contract,NULL,O2,Free Subscription,Samsung Galaxy S22,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1321,Smartphones with contract,NULL,O2,Switcher,Samsung Galaxy S22,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1322,Smartphones with contract,NULL,Telekom,Free Merchandise,Samsung Galaxy S22,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1323,Smartphones with contract,NULL,Telekom,Bundle Deal,Samsung Galaxy S22,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1324,Smartphones with contract,NULL,Telekom,Free Subscription,Samsung Galaxy S22,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1325,Smartphones with contract,NULL,Telekom,Switcher,Samsung Galaxy S22,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1326,Smartphones without Contract,NULL,NULL,WoW Price Change,Samsung Galaxy S23,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1327,Smartphones without Contract,NULL,NULL,Bundle Deal,Samsung Galaxy S23,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1328,Smartphones without Contract,NULL,NULL,Free Subscription,Samsung Galaxy S23,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1329,Smartphones without Contract,NULL,NULL,CashBack / Deduction,Samsung Galaxy S23,100,Samsung,20,15-May,Mediamarkt,Mediamarkt
1330,Smartphones without Contract,NULL,NULL,Gift Card,Samsung Galaxy S23,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1331,Smartphones without Contract,NULL,NULL,Trade-In,Samsung Galaxy S23,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1332,Smartphones with contract,NULL,Vodafone,One Time Cost,Samsung Galaxy S23,5,Samsung,20,15-May,Mediamarkt,Mediamarkt
1333,Smartphones with contract,NULL,Vodafone,Monthly Cost,Samsung Galaxy S23,90,Samsung,20,15-May,Mediamarkt,Mediamarkt
1334,Smartphones with contract,NULL,Vodafone,Free Merchandise,Samsung Galaxy S23,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1335,Smartphones with contract,NULL,Vodafone,Bundle Deal,Samsung Galaxy S23,221,Samsung,20,15-May,Mediamarkt,Mediamarkt
1336,Smartphones with contract,NULL,Vodafone,Free Subscription,Samsung Galaxy S23,0,Samsung,20,15-May,Mediamarkt,Mediamarkt
1337,Smartphones with contract,NULL,Vodafone,Switcher,Samsung Galaxy S23,50,Samsung,20,15-May,Mediamarkt,Mediamarkt
